Pickup Supplier,Pickup Location,Supplier ID,Destination,Fee,Notes 1,Notes 2
AutoVia,Italy,725136,Italy,"o	From 1 day to 3 days: 16,39 + vat per day;
o	From 4 days to 6 days: 13,11+ vat per day;
o	From 7 to….: 81.96 + vat forfeit.","•	It's permitted to drive in the following Countries: GERMANIA, SAN MARINO, FRANCIA, SPAGNA, SVIZZERA, AUSTRIA, CROAZIA, SLOVENIA, BELGIO, LIECHTENSTEIN, LUSSEMBURGO, PAESI BASSI •	It's forbidden to drive in these Countries: Albania, Bulgaria, Estonia, Greece, Iraq, Morocco, Poland, Czech Republic, Islamic Republic of Iran, Slovak Republic, Romania, Serbia, Tunisia, Turkey, Hungary, Malta and Cyprus.
",
AirAuto,Portugal,505093,Spain,40 EUR,,
Alamo,Argentina,34549, Brazil,66.87 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,Travel to and within Bolivia and Paraguay is not permitted.
Alamo,Argentina,34549,Chile,66.87 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,Travel to and within Bolivia and Paraguay is not permitted.
Alamo,Argentina,34549,Uruguay,66.87 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,Travel to and within Bolivia and Paraguay is not permitted.
Alamo,Armenia,689995,Georgia ,21  EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Germany,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106, Belgium,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Spain,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Croatia,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Czech Republic,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106, Denmark,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Finland,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,France,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Hungary,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Ireland,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106, Italy,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Luxembourg,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Netherlands,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Norway,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106, Poland,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Portugal,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Slovakia,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Sweden,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Switzerland,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,United Kingdom,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Andorra,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Monaco,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Liechtenstein,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Chile,7848,Argentina,167.18 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Costa Rica,2643,Nicaragua,83.59 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Costa Rica,2643,Panama,83.59 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Argentina,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Bolivia,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Brazil,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Chile,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Costa Rica,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Dominican Republic,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Honduras,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Mexico,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Peru,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Uruguay,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Venezuela,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Panama,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Curacao,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Estonia,623348,Latvia,68.4 EUR ,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Estonia,623348,Lithuania,68.4 EUR ,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
