Pickup Supplier,Pickup Location,Supplier ID,Destination,Fee,Notes 1,Notes 2
,,,,,,
AirAuto,Portugal,505093,Spain,40 EUR,,
Alamo,Argentina,34549, Brazil,66.87 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,Travel to and within Bolivia and Paraguay is not permitted.
Alamo,Argentina,34549,Chile,66.87 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,Travel to and within Bolivia and Paraguay is not permitted.
Alamo,Argentina,34549,Uruguay,66.87 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,Travel to and within Bolivia and Paraguay is not permitted.
Alamo,Armenia,689995,Georgia ,21  EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Germany,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106, Belgium,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Spain,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Croatia,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Czech Republic,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106, Denmark,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Finland,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,France,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Hungary,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Ireland,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106, Italy,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Luxembourg,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Netherlands,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Norway,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106, Poland,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Portugal,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Slovakia,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Sweden,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Switzerland,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,United Kingdom,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Andorra,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Monaco,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Austria,632106,Liechtenstein,33.34 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Chile,7848,Argentina,167.18 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Costa Rica,2643,Nicaragua,83.59 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Costa Rica,2643,Panama,83.59 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Argentina,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Bolivia,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Brazil,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Chile,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Costa Rica,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Dominican Republic,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Honduras,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Mexico,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Peru,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Uruguay,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Venezuela,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Panama,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,El Salvador,57162,Curacao,125.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Estonia,623348,Latvia,68.4 EUR ,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Estonia,623348,Lithuania,68.4 EUR ,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Germany,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Austria,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Belgium,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Bosnia and Herzegovina,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Bulgaria,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Spain,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
